ev_id,type,type_label,arrival_slot,departure_slot,connected_slots,battery_kwh,charge_kw,target_soc_pct
EV_036,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_037,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_038,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_039,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_040,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_041,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_042,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_043,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_044,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_045,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_046,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_047,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_048,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_049,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_050,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_051,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_052,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_053,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_054,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_055,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_056,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_057,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_058,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_059,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_060,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_061,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_062,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_063,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_064,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_065,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_066,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_067,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_068,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_069,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_070,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_071,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_072,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_073,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_074,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_075,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_076,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_077,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_078,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_079,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_080,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_081,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_082,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_083,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_084,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_085,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_086,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_087,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_088,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_089,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_090,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_091,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_092,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_093,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_094,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_095,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_096,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_097,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_098,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_099,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_100,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_101,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_102,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_103,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_104,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_105,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_106,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_107,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_108,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_109,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_110,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_111,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_112,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_113,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_114,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_115,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_116,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_117,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_118,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_119,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_120,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_121,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_122,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_123,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_124,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_125,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_126,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_127,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_128,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_129,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_130,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_131,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_132,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_133,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_134,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_135,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_136,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_137,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_138,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_139,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_140,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_141,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_142,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_143,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_144,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_145,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_146,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_147,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_148,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_149,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_150,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_151,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_152,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_153,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_154,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_155,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_156,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_157,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_158,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_159,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_160,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_161,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_162,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_163,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_164,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_165,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_166,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_167,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_168,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_169,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_170,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_171,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_172,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_173,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_174,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_175,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_176,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_177,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_178,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_179,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_180,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_181,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_182,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_183,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_184,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_185,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_186,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_187,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_188,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_189,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_190,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_191,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_192,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_193,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_194,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_195,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_196,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_197,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_198,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_199,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_200,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_201,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_202,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_203,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_204,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_205,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_206,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_207,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_208,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_209,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_210,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_211,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_212,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_213,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_214,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_215,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_216,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_217,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_218,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_219,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_220,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_221,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_222,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_223,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_224,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_225,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_226,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_227,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_228,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_229,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_230,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_231,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_232,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_233,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_234,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_235,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_236,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_237,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_238,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_239,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_240,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_241,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_242,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_243,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_244,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_245,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_246,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_247,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_248,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_249,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_250,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_251,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_252,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_253,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_254,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_255,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_256,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_257,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_258,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_259,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_260,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_261,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_262,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_263,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_264,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_265,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_266,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_267,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_268,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_269,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_270,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_271,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_272,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_273,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_274,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_275,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_276,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_277,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_278,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_279,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_280,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_281,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_282,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_283,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_284,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_285,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_286,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_287,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_288,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_289,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_290,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_291,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_292,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_293,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_294,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_295,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_296,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_297,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_298,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_299,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_300,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_301,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_302,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_303,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_304,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_305,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_306,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_307,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_308,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_309,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_310,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_311,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_312,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_313,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_314,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_315,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_316,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_317,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_318,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_319,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_320,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_321,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_322,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_323,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_324,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_325,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_326,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_327,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_328,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_329,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_330,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_331,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_332,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_333,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_334,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_335,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_336,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_337,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_338,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_339,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_340,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_341,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_342,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_343,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_344,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_345,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_346,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_347,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_348,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_349,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_350,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_351,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_352,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_353,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_354,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_355,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_356,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
